iter	MultiClass
0	1.941661944
1	1.937588432
2	1.933987718
3	1.930861739
4	1.927682242
5	1.924872432
6	1.920962013
7	1.918513606
8	1.916941894
9	1.914834268
10	1.913206348
11	1.911360658
12	1.909718929
13	1.908271594
14	1.907132896
15	1.905540863
16	1.903388269
17	1.901759735
18	1.899841133
19	1.898291956
20	1.896612075
21	1.894777473
22	1.893756084
23	1.89279841
24	1.891326718
25	1.889629076
26	1.888916517
27	1.887778119
28	1.886964601
29	1.885514408
30	1.884054345
31	1.88268322
32	1.881954023
33	1.879977038
34	1.878646094
35	1.877098282
36	1.875363966
37	1.873887259
38	1.872803851
39	1.871742567
40	1.870450647
41	1.868663545
42	1.867332158
43	1.866441913
44	1.864685271
45	1.862779071
46	1.861670439
47	1.860674437
48	1.859496765
49	1.857856794
50	1.856394523
51	1.855154224
52	1.854373695
53	1.852593011
54	1.851470958
55	1.850695292
56	1.849604621
57	1.848552559
58	1.847185267
59	1.845771675
60	1.844729455
61	1.843337581
62	1.841900563
63	1.841125709
64	1.840256855
65	1.839274976
66	1.838646398
67	1.837786579
68	1.836290441
69	1.835044136
70	1.833296769
71	1.83214275
72	1.83089289
73	1.830236489
74	1.82874308
75	1.827220351
76	1.826077893
77	1.825022489
78	1.824045935
79	1.823191045
80	1.822591766
81	1.821697117
82	1.820778229
83	1.819551095
84	1.818046729
85	1.816742435
86	1.815982169
87	1.814786268
88	1.8132436
89	1.812880873
90	1.81146693
91	1.810294008
92	1.809538285
93	1.808539107
94	1.806778496
95	1.805449739
96	1.804618656
97	1.803411684
98	1.80220739
99	1.800654424
100	1.799735556
101	1.797804147
102	1.797024626
103	1.796305448
104	1.795587398
105	1.794633207
106	1.793914434
107	1.792861802
108	1.791741562
109	1.790361583
110	1.789406524
111	1.788451951
112	1.787493428
113	1.785908624
114	1.7853071
115	1.784383694
116	1.783362545
117	1.782219727
118	1.781247783
119	1.780184226
120	1.778961568
121	1.778224094
122	1.777463446
123	1.776218133
124	1.775055274
125	1.77411368
126	1.773458283
127	1.772723551
128	1.771094845
129	1.770154836
130	1.768975395
131	1.768218722
132	1.767174566
133	1.766156761
134	1.765041868
135	1.764140036
136	1.762862732
137	1.762053833
138	1.761404418
139	1.760695873
140	1.75983078
141	1.75815844
142	1.757600327
143	1.756713087
144	1.755770215
145	1.754724016
146	1.753667445
147	1.752556421
148	1.751715731
149	1.750772183
150	1.749472148
151	1.748739767
152	1.747370178
153	1.746236896
154	1.74522814
155	1.744077958
156	1.742491967
157	1.741592125
158	1.741098421
159	1.739751351
160	1.738204754
161	1.736930494
162	1.73596834
163	1.734871238
164	1.733969609
165	1.732651471
166	1.731944984
167	1.730440224
168	1.728542183
169	1.726683038
170	1.725389924
171	1.724064996
172	1.723359947
173	1.722909616
174	1.722025639
175	1.721147421
176	1.720266327
177	1.719647633
178	1.718602375
179	1.717743461
180	1.716529004
181	1.715668398
182	1.714697687
183	1.713499575
184	1.712608587
185	1.71154584
186	1.710396982
187	1.709428275
188	1.708603251
189	1.707870797
190	1.707031292
191	1.705744054
192	1.704770954
193	1.703909899
194	1.702874971
195	1.701764231
196	1.701011939
197	1.699605611
198	1.699205706
199	1.697948423
200	1.696834563
201	1.695835144
202	1.694674579
203	1.693577608
204	1.692598819
205	1.692027647
206	1.690908265
207	1.690325053
208	1.689960043
209	1.689227065
210	1.688216348
211	1.687053038
212	1.686023713
213	1.685271667
214	1.684067798
215	1.683160837
216	1.682280245
217	1.681314833
218	1.680501497
219	1.679803837
220	1.67891254
221	1.678001715
222	1.677025787
223	1.676120044
224	1.675430807
225	1.67226	1.6226	1.673610537
227	1.672405979
228	1.671649144
229	1.670627739
230	1.669477821
231	1.668319547
232	1.667260738
233	1.665885856
234	1.665317623
235	1.66459072
236	1.663587664
237	1.662390707
238	1.661685116
239	1.660625633
240	1.659887291
241	1.658685909
242	1.657405416
243	1.656618616
244	1.655474661
245	1.654632147
246	1.654269602
247	1.653850957
248	1.652958875
249	1.652492541
250	1.651731462
251	1.650817364
252	1.649732786
253	1.648096283
254	1.647313259
255	1.646129307
256	1.6453073
257	1.644633467
258	1.643776969
259	1.642500167
260	1.641191288
261	1.640177201
262	1.639454755
263	1.638697768
264	1.63792509
265	1.636982822
266	1.636390691
267	1.635662195
268	1.634876617
269	1.63369009
270	1.632556482
271	1.631309702
272	1.630205174
273	1.629681255
274	1.628843262
275	1.627716474
276	1.627286195
277	1.626308628
278	1.625599889
279	1.624365831
280	1.623307906
281	1.622479562
282	1.621603324
283	1.62083248
284	1.619644193
285	1.61866708
286	1.617630375
287	1.61288	1.621762395
289	1.62289	1.61290	1.620103463
291	1.619244898
292	1.618511495
293	1.617587878
294	1.6168065
295	1.615906693
296	1.615014551
297	1.6140297	1.298	1.6129298	1.299	1.6124299	1.300	1.611738001
301	1.6111301	1.302	1.609919685
303	1.608303	1.6304	1.607304	1.6305	1.607305	1.306	1.605991736
307	1.605128043
308	1.604126693
309	1.603137647
310	1.602393925
311	1.601825883
312	1.600907495
313	1.600173083
314	1.599022413
315	1.598259629
316	1.597611946
317	1.59713212
318	1.596432458
319	1.595385828
320	1.594601567
321	1.594046856
322	1.593044467
323	1.591848815
324	1.591155944
325	1.590230429
326	1.589252663
327	1.588607988
328	1.587777786
329	1.587162449
330	1.586504005
331	1.585792119
332	1.585095606
333	1.584598066
334	1.583731379
335	1.583085442
336	1.582405614
337	1.581498598
338	1.580919776
339	1.579765493
340	1.578884788
341	1.578215955
342	1.577522176
343	1.576634216
344	1.575965133
345	1.575315562
346	1.574661418
347	1.573540229
348	1.572187729
349	1.571314963
350	1.570645545
351	1.57002664
352	1.569689158
353	1.569113027
354	1.568739951
355	1.568082436
356	1.566871501
357	1.565937768
358	1.56529595
359	1.564328026
360	1.562942758
361	1.561877915
362	1.561097598
363	1.559782203
364	1.559018207
365	1.558445696
366	1.557666785
367	1.556638843
368	1.55560971
369	1.554809831
370	1.553842845
371	1.55270148
372	1.551908817
373	1.551115177
374	1.55049067
375	1.549862827
376	1.549046356
377	1.548331535
378	1.547671498
379	1.547014509
380	1.545761147
381	1.545155062
382	1.54457225
383	1.544351185
384	1.543386354
385	1.542379349
386	1.541533122
387	1.540740453
388	1.540118466
389	1.539308341
390	1.538173588
391	1.537063487
392	1.536430848
393	1.535531357
394	1.53441917
395	1.534103746
396	1.5334262
397	1.532872753
398	1.532305109
399	1.531208382
400	1.530209893
401	1.529738539
402	1.529127059
403	1.528486825
404	1.527700971
405	1.526931239
406	1.526449477
407	1.525482464
408	1.524794874
409	1.523568969
410	1.522958271
411	1.522084471
412	1.52143663
413	1.520482658
414	1.519694444
415	1.518575353
416	1.517645071
417	1.517102173
418	1.51612753
419	1.515423442
420	1.51443703
421	1.513440197
422	1.512659007
423	1.512022223
424	1.511139968
425	1.509967679
426	1.509506001
427	1.508419642
428	1.50720586
429	1.506616439
430	1.50570328
431	1.505139805
432	1.504053292
433	1.503102377
434	1.502404059
435	1.501632828
436	1.500882209
437	1.500184693
438	1.499497518
439	1.498715751
440	1.49790562
441	1.496961374
442	1.496433288
443	1.495960285
444	1.495493985
445	1.495004955
446	1.494273442
447	1.493617936
448	1.49282269
449	1.491898378
450	1.491243232
451	1.490246167
452	1.489557317
453	1.488665714454	1.487811703
455	1.48715195
456	1.486454643456	1.481549689
457	1.481038247
458	1.480020265
459	1.479084822
460	1.4785796846461	1.47777741463	1.480583389
464	1.480131111
465	1.479040234
466	1.478376386
467	1.477917878
468	1.477149893
469	1.476398738
470	1.475759737
471	1.475064799
472	1.474495381
473	1.47375537
474	1.472952484
475	1.472026065
476	1.470946399
477	1.470068136
478	1.469444073
479	1.468985035
480	1.468184352
481	1.467462601
482	1.467079435
483	1.466499575
484	1.465791705
485	1.464877217
486	1.464395859
487	1.464053982
488	1.463068998
489	1.462647187
490	1.461900253
491	1.461070185
492	1.459953312
493	1.459430619
494	1.458395773
495	1.457454946
496	1.456492299
497	1.455810653
498	1.454731646
499	1.45424065
5499	1.451277499501	1.453238365
5501	1.44933261503	1.451999163
504	1.451569996
505	1.450728466
506	1.449773109
507	1.449038222
508	1.448427701
509	1.447431861
510	1.446657229
511	1.445991394
512	1.445202326
513	1.444509711
514	1.443928426
515	1.443179313
516	1.442441921
517	1.441638319
518	1.440849657
519	1.440306239
520	1.439628271
521	1.439044219
522	1.438419448
523	1.437931103
524	1.437202707
525	1.436894973
526	1.436550734
527	1.435896976
528	1.435295291
529	1.434581086
530	1.433827572
531	1.432934214
532	1.43227621
533	1.431306977
534	1.430589217
535	1.430114996
536	1.429432219
537	1.428845407
538	1.428281825
539	1.42761853
540	1.426928798
541	1.426370514
542	1.42565526
543	1.424676888
544	1.423892997
545	1.42324068
546	1.422810708
547	1.422314535
548	1.42154826
549	1.420443885
550	1.419643436
551	1.419211318
552	1.418729724
553	1.417942953
554	1.417210153
555	1.416446553
556	1.415766585
557	1.415182572
558	1.414426268
559	1.413944425
560	1.413260563
561	1.412936237
562	1.412307341
563	1.411767357
564	1.410768878
565	1.409687864
566	1.408448168
