iter	Passed	Remaining
0	75	75766
1	291	145557
2	379	125973
3	418	104087
4	479	95368
5	549	91099
6	622	88340
7	756	93805
8	843	92848
9	935	92649
10	1010	90871
11	1064	87659
12	1194	90683
13	1284	90482
14	1338	87889
15	1420	87379
16	1478	85485
17	1553	84736
18	1645	84950
19	1699	83282
20	1816	84660
21	1909	84889
22	1952	82926
23	2002	81419
24	2033	79290
25	2077	77820
26	2114	76208
27	2186	75902
28	2286	76558
29	2336	75546
30	2439	76265
31	2472	74779
32	2617	76686
33	2708	76959
34	2773	76462
35	2840	76067
36	2901	75529
37	3019	76434
38	3107	76570
39	3219	77269
40	3338	78090
41	3377	77044
42	3435	76463
43	3474	75497
44	3572	75826
45	3704	76837
46	3741	75862
47	3788	75135
48	3838	74492
49	3892	73954
50	3966	73804
51	4021	73313
52	4079	72887
53	4158	72856
54	4366	75020
55	4447	74965
56	4543	75160
57	4735	76903
58	4790	76404
59	4855	76075
60	4902	75472
61	4996	75588
62	5028	74785
63	5073	74198
64	5155	74158
65	5212	73771
66	5266	73344
67	5433	74476
68	5510	74352
69	5748	76379
70	5802	75926
71	6013	77510
72	6120	77716
73	6214	77759
74	6322	77974
75	6387	77659
76	6426	77038
77	6496	76793
78	6587	76795
79	6697	77017
80	6807	77231
81	7330	82060
82	7786	86025
83	8077	88084
84	8133	87550
85	8321	88444
86	8489	89088
87	8558	88692
88	8637	88410
89	8707	88045
90	8915	89061
91	9030	89129
92	9057	88331
93	9108	87788
94	9143	87099
95	9217	86802
96	9264	86245
97	9363	86182
98	9449	86001
99	9534	85812
100	9623	85658
101	9750	85841
102	9820	85521
103	9855	84911
104	9892	84322
105	9927	83730
106	9974	83241
107	10061	83098
108	10145	82933
109	10254	82966
110	10326	82707
111	10455	82900
112	10486	82316
113	10550	81999
114	10585	81458
115	10623	80958
116	10680	80604
117	10729	80198
118	10794	79918
119	10847	79546
120	10899	79180
121	10964	78908
122	11015	78543
123	11156	78812
124	11189	78327
125	11223	77851
126	11299	77673
127	11385	77564
128	11540	77919
129	11600	77631
130	11643	77239
131	11746	77243
132	11850	77252
133	11921	77042
134	11981	76769
135	12116	76976
136	12174	76687
137	12339	77080
138	12447	77102
139	12614	77491
140	12739	77608
141	12793	77303
142	12856	77048
